week_end_date,Region,case_7d_avg
2022-05-29,Nelson,190
2022-05-29,Northland,198
2022-05-29,Otago,416
2022-05-29,Southland,76
2022-05-29,Taranaki,207
2022-05-29,Tasman,43
2022-05-29,Waikato,541
2022-05-29,Wellington,826
2022-05-29,West Coast,76
2022-05-29,NA,50
2022-06-05,Auckland,2033
2022-06-05,Bay of Plenty,255
2022-06-05,Canterbury,1136
2022-06-05,Gisborne,37
2022-06-05,Hawke's Bay,184
2022-06-05,Manawatu-Whanganui,313
2022-06-05,Marlborough,46
2022-06-05,Nelson,187
2022-06-05,Northland,159
2022-06-05,Otago,402
2022-06-05,Southland,85
2022-06-05,Taranaki,175
2022-06-05,Tasman,34
2022-06-05,Waikato,519
2022-06-05,Wellington,875
2022-06-05,West Coast,68
2022-06-05,NA,59
2022-06-12,Auckland,1720
2022-06-12,Bay of Plenty,263
2022-06-12,Canterbury,961
2022-06-12,Gisborne,29
2022-06-12,Hawke's Bay,171
2022-06-12,Manawatu-Whanganui,321
2022-06-12,Marlborough,41
2022-06-12,Nelson,162
2022-06-12,Northland,127
2022-06-12,Otago,373
2022-06-12,Southland,90
2022-06-12,Taranaki,167
2022-06-12,Tasman,34
2022-06-12,Waikato,438
2022-06-12,Wellington,906
2022-06-12,West Coast,60
2022-06-12,NA,62
2022-06-19,Auckland,1481
2022-06-19,Bay of Plenty,227
2022-06-19,Canterbury,780
2022-06-19,Gisborne,35
2022-06-19,Hawke's Bay,138
2022-06-19,Manawatu-Whanganui,225
2022-06-19,Marlborough,28
2022-06-19,Nelson,147
2022-06-19,Northland,117
2022-06-19,Otago,357
2022-06-19,Southland,69
2022-06-19,Taranaki,147
2022-06-19,Tasman,30
2022-06-19,Waikato,349
2022-06-19,Wellington,699
2022-06-19,West Coast,35
2022-06-19,NA,46
2022-06-26,Auckland,1610
2022-06-26,Bay of Plenty,222
2022-06-26,Canterbury,916
2022-06-26,Gisborne,40
2022-06-26,Hawke's Bay,149
2022-06-26,Manawatu-Whanganui,198
2022-06-26,Marlborough,36
2022-06-26,Nelson,138
2022-06-26,Northland,118
2022-06-26,Otago,360
2022-06-26,Southland,58
2022-06-26,Taranaki,137
2022-06-26,Tasman,33
2022-06-26,Waikato,322
2022-06-26,Wellington,764
2022-06-26,West Coast,43
2022-06-26,NA,42
2022-07-03,Auckland,2282
2022-07-03,Bay of Plenty,340
2022-07-03,Canterbury,1186
2022-07-03,Gisborne,59
2022-07-03,Hawke's Bay,254
2022-07-03,Manawatu-Whanganui,285
2022-07-03,Marlborough,47
2022-07-03,Nelson,160
2022-07-03,Northland,141
2022-07-03,Otago,546
2022-07-03,Southland,92
2022-07-03,Taranaki,186
2022-07-03,Tasman,31
2022-07-03,Waikato,461
2022-07-03,Wellington,997
2022-07-03,West Coast,57
2022-07-03,NA,59
2022-07-10,Auckland,3100
2022-07-10,Bay of Plenty,492
2022-07-10,Canterbury,1488
2022-07-10,Gisborne,77
2022-07-10,Hawke's Bay,400
2022-07-10,Manawatu-Whanganui,459
2022-07-10,Marlborough,62
2022-07-10,Nelson,185
2022-07-10,Northland,210
2022-07-10,Otago,590
2022-07-10,Southland,116
2022-07-10,Taranaki,206
2022-07-10,Tasman,37
2022-07-10,Waikato,610
2022-07-10,Wellington,1250
2022-07-10,West Coast,55
2022-07-10,NA,75
2022-07-17,Auckland,3049
2022-07-17,Bay of Plenty,567
2022-07-17,Canterbury,1551
2022-07-17,Gisborne,72
2022-07-17,Hawke's Bay,453
2022-07-17,Manawatu-Whanganui,547
2022-07-17,Marlborough,64
2022-07-17,Nelson,200
2022-07-17,Northland,216
2022-07-17,Otago,747
2022-07-17,Southland,114
2022-07-17,Taranaki,207
2022-07-17,Tasman,32
2022-07-17,Waikato,684
2022-07-17,Wellington,1232
2022-07-17,West Coast,55
2022-07-17,NA,83
2022-07-24,Auckland,2640
2022-07-24,Bay of Plenty,491
2022-07-24,Canterbury,1373
2022-07-24,Gisborne,58
2022-07-24,Hawke's Bay,341
2022-07-24,Manawatu-Whanganui,483
2022-07-24,Marlborough,68
2022-07-24,Nelson,169
2022-07-24,Northland,205
2022-07-24,Otago,605
2022-07-24,Southland,135
2022-07-24,Taranaki,216
2022-07-24,Tasman,27
2022-07-24,Waikato,619
2022-07-24,Wellington,1163
2022-07-24,West Coast,46
2022-07-24,NA,77
2022-07-31,Auckland,2283
2022-07-31,Bay of Plenty,411
2022-07-31,Canterbury,1052
2022-07-31,Gisborne,52
2022-07-31,Hawke's Bay,237
2022-07-31,Manawatu-Whanganui,398
2022-07-31,Marlborough,49
2022-07-31,Nelson,124
2022-07-31,Northland,185
2022-07-31,Otago,442
2022-07-31,Southland,121
2022-07-31,Taranaki,190
2022-07-31,Tasman,25
2022-07-31,Waikato,581
2022-07-31,Wellington,902
2022-07-31,West Coast,50
2022-07-31,NA,60
2022-08-07,Auckland,1807
2022-08-07,Bay of Plenty,323
2022-08-07,Canterbury,778
2022-08-07,Gisborne,42
2022-08-07,Hawke's Bay,160
2022-08-07,Manawatu-Whanganui,251
2022-08-07,Marlborough,44
2022-08-07,Nelson,93
2022-08-07,Northland,141
2022-08-07,Otago,322
2022-08-07,Southland,103
2022-08-07,Taranaki,135
2022-08-07,Tasman,20
2022-08-07,Waikato,467
2022-08-07,Wellington,622
2022-08-07,West Coast,42
2022-08-07,NA,52
2022-08-14,Auckland,1595
2022-08-14,Bay of Plenty,255
2022-08-14,Canterbury,559
2022-08-14,Gisborne,34
2022-08-14,Hawke's Bay,117
2022-08-14,Manawatu-Whanganui,217
2022-08-14,Marlborough,34
2022-08-14,Nelson,75
2022-08-14,Northland,138
2022-08-14,Otago,227
2022-08-14,Southland,63
2022-08-14,Taranaki,108
2022-08-14,Tasman,14
2022-08-14,Waikato,400
2022-08-14,Wellington,406
2022-08-14,West Coast,36
2022-08-14,NA,43
2022-08-21,Auckland,1423
2022-08-21,Bay of Plenty,218
2022-08-21,Canterbury,445
2022-08-21,Gisborne,37
2022-08-21,Hawke's Bay,95
2022-08-21,Manawatu-Whanganui,179
2022-08-21,Marlborough,22
2022-08-21,Nelson,76
2022-08-21,Northland,110
2022-08-21,Otago,183
2022-08-21,Southland,45
2022-08-21,Taranaki,109
2022-08-21,Tasman,13
2022-08-21,Waikato,358
2022-08-21,Wellington,344
2022-08-21,West Coast,25
2022-08-21,NA,32
2022-08-28,Auckland,947
2022-08-28,Bay of Plenty,131
2022-08-28,Canterbury,311
2022-08-28,Gisborne,27
2022-08-28,Hawke's Bay,58
2022-08-28,Manawatu-Whanganui,113
2022-08-28,Marlborough,15
2022-08-28,Nelson,45
2022-08-28,Northland,68
2022-08-28,Otago,117
2022-08-28,Southland,34
2022-08-28,Taranaki,67
2022-08-28,Tasman,10
2022-08-28,Waikato,226
2022-08-28,Wellington,230
2022-08-28,West Coast,15
2022-08-28,NA,22
2022-09-04,Auckland,737
2022-09-04,Bay of Plenty,91
2022-09-04,Canterbury,233
2022-09-04,Gisborne,26
2022-09-04,Hawke's Bay,43
2022-09-04,Manawatu-Whanganui,90
2022-09-04,Marlborough,11
2022-09-04,Nelson,28
2022-09-04,Northland,63
2022-09-04,Otago,84
2022-09-04,Southland,25
2022-09-04,Taranaki,53
2022-09-04,Tasman,6
2022-09-04,Waikato,159
2022-09-04,Wellington,194
2022-09-04,West Coast,11
2022-09-04,NA,18
2022-09-11,Auckland,642
2022-09-11,Bay of Plenty,86
2022-09-11,Canterbury,198
2022-09-11,Gisborne,18
2022-09-11,Hawke's Bay,32
2022-09-11,Manawatu-Whanganui,76
2022-09-11,Marlborough,13
2022-09-11,Nelson,32
2022-09-11,Northland,54
2022-09-11,Otago,62
2022-09-11,Southland,14
2022-09-11,Taranaki,40
2022-09-11,Tasman,5
2022-09-11,Waikato,139
2022-09-11,Wellington,155
2022-09-11,West Coast,8
2022-09-11,NA,14
2022-09-18,Auckland,554
2022-09-18,Bay of Plenty,78
2022-09-18,Canterbury,150
2022-09-18,Gisborne,15
2022-09-18,Hawke's Bay,27
2022-09-18,Manawatu-Whanganui,61
2022-09-18,Marlborough,7
2022-09-18,Nelson,22
2022-09-18,Northland,45
2022-09-18,Otago,51
2022-09-18,Southland,12
2022-09-18,Taranaki,32
2022-09-18,Tasman,5
2022-09-18,Waikato,125
2022-09-18,Wellington,137
2022-09-18,West Coast,6
2022-09-18,NA,16
2022-09-25,Auckland,527
2022-09-25,Bay of Plenty,76
2022-09-25,Canterbury,154
2022-09-25,Gisborne,15
2022-09-25,Hawke's Bay,27
2022-09-25,Manawatu-Whanganui,70
2022-09-25,Marlborough,7
2022-09-25,Nelson,25
2022-09-25,Northland,62
2022-09-25,Otago,49
2022-09-25,Southland,15
2022-09-25,Taranaki,27
2022-09-25,Tasman,6
2022-09-25,Waikato,139
2022-09-25,Wellington,153
2022-09-25,West Coast,12
2022-09-25,NA,13
2022-10-02,Auckland,530
2022-10-02,Bay of Plenty,81
2022-10-02,Canterbury,190
2022-10-02,Gisborne,13
2022-10-02,Hawke's Bay,24
2022-10-02,Manawatu-Whanganui,65
2022-10-02,Marlborough,12
2022-10-02,Nelson,32
2022-10-02,Northland,45
2022-10-02,Otago,53
2022-10-02,Southland,12
2022-10-02,Taranaki,34
2022-10-02,Tasman,5
2022-10-02,Waikato,126
2022-10-02,Wellington,156
2022-10-02,West Coast,9
2022-10-02,NA,16
2022-10-09,Auckland,588
2022-10-09,Bay of Plenty,82
2022-10-09,Canterbury,215
2022-10-09,Gisborne,15
2022-10-09,Hawke's Bay,29
2022-10-09,Manawatu-Whanganui,71
2022-10-09,Marlborough,14
2022-10-09,Nelson,32
2022-10-09,Northland,41
2022-10-09,Otago,56
2022-10-09,Southland,15
2022-10-09,Taranaki,36
2022-10-09,Tasman,6
2022-10-09,Waikato,141
2022-10-09,Wellington,211
2022-10-09,West Coast,8
2022-10-09,NA,16
2022-10-16,Auckland,748
2022-10-16,Bay of Plenty,90
2022-10-16,Canterbury,250
2022-10-16,Gisborne,15
2022-10-16,Hawke's Bay,43
2022-10-16,Manawatu-Whanganui,92
2022-10-16,Marlborough,9
2022-10-16,Nelson,43
2022-10-16,Northland,65
2022-10-16,Otago,70
2022-10-16,Southland,23
2022-10-16,Taranaki,44
2022-10-16,Tasman,11
2022-10-16,Waikato,144
2022-10-16,Wellington,327
2022-10-16,West Coast,15
2022-10-16,NA,19
