week_end_date,SampleLocation,case_7d_avg
2022-02-06,CA_Timaru,0
2022-02-06,GI_Gisborne,1
2022-02-06,HB_Hastings,4
2022-02-06,HB_Napier,0
2022-02-06,MA_Blenheim,0
2022-02-06,MW_PalmerstonNorth,0
2022-02-06,MW_Whanganui,0
2022-02-06,NE_BellIsland,0
2022-02-06,NE_Nelson,0
2022-02-06,NO_Kerikeri,2
2022-02-06,NO_Paihia,1
2022-02-06,NO_Whangarei,2
2022-02-06,NO_Whatuwhiwhi,0
2022-02-06,TK_Eltham,0
2022-02-06,TK_Hawera,0
2022-02-06,TK_NewPlymouth,0
2022-02-06,WG_Masterton,0
2022-02-06,WG_MoaPoint,2
2022-02-06,WG_Porirua,1
2022-02-06,WG_Seaview,0
2022-02-06,WK_Cambridge,1
2022-02-06,WK_Hamilton,19
2022-02-06,WK_Taupo,0
2022-02-13,AU_ArmyBay,1
2022-02-13,AU_Beachlands,0
2022-02-13,AU_ClarksBeach,0
2022-02-13,AU_Eastern,220
2022-02-13,AU_Helensville,0
2022-02-13,AU_Pukekohe,4
2022-02-13,AU_Rosedale,8
2022-02-13,AU_SouthWestern,73
2022-02-13,AU_Waiuku,0
2022-02-13,AU_Wellsford,0
2022-02-13,AU_Western,60
2022-02-13,BP_Katikati,0
2022-02-13,BP_Kawerau,0
2022-02-13,BP_Rotorua,5
2022-02-13,BP_Tauranga,4
2022-02-13,BP_TeMaunga,4
2022-02-13,BP_TePuke,0
2022-02-13,BP_Whakatane,0
2022-02-13,CA_Christchurch,10
2022-02-13,CA_Timaru,0
2022-02-13,GI_Gisborne,1
2022-02-13,HB_Hastings,2
2022-02-13,HB_Napier,1
2022-02-13,MW_Levin,1
2022-02-13,MW_PalmerstonNorth,0
2022-02-13,MW_Whanganui,0
2022-02-13,NE_BellIsland,0
2022-02-13,NE_Nelson,0
2022-02-13,NO_Hikurangi,1
2022-02-13,NO_Kaikohe,0
2022-02-13,NO_Kaitaia,0
2022-02-13,NO_Kerikeri,2
2022-02-13,NO_Mangawhai,0
2022-02-13,NO_Paihia,1
2022-02-13,NO_Rawene,0
2022-02-13,NO_Whangarei,3
2022-02-13,OT_DunedinTahuna,0
2022-02-13,OT_GreenIsland,0
2022-02-13,OT_Mosgiel,0
2022-02-13,OT_Queenstown,4
2022-02-13,OT_Wanaka,0
2022-02-13,SO_Invercargill,0
2022-02-13,TK_Eltham,0
2022-02-13,TK_Hawera,0
2022-02-13,TK_NewPlymouth,1
2022-02-13,WG_Featherston,0
2022-02-13,WG_Martinborough,0
2022-02-13,WG_Masterton,1
2022-02-13,WG_MoaPoint,3
2022-02-13,WG_Otaki,0
2022-02-13,WG_Paraparaumu,0
2022-02-13,WG_Porirua,2
2022-02-13,WG_Seaview,7
2022-02-13,WK_Cambridge,2
2022-02-13,WK_Hamilton,36
2022-02-13,WK_Otorohanga,0
2022-02-13,WK_Taupo,2
2022-02-13,WK_Tokoroa,0
2022-02-20,AU_ArmyBay,2
2022-02-20,AU_Beachlands,1
2022-02-20,AU_ClarksBeach,0
2022-02-20,AU_Eastern,940
2022-02-20,AU_Helensville,1
2022-02-20,AU_Omaha,0
2022-02-20,AU_Pukekohe,8
2022-02-20,AU_Rosedale,14
2022-02-20,AU_SnellsAlgies,0
2022-02-20,AU_SouthWestern,85
2022-02-20,AU_Waiuku,0
