week_end_date,Region,copies_per_day_per_person,population_covered,n_sites
2022-01-09,Gisborne,0,37000,1
2022-01-09,Hawke's Bay,0,146900,6
2022-01-09,Manawatu-Whanganui,0,159700,4
2022-01-09,Nelson,0,26000,1
2022-01-09,Northland,550,91200,10
2022-01-09,Otago,0,161500,4
2022-01-09,Southland,0,50000,1
2022-01-09,Taranaki,132709,112500,5
2022-01-09,Waikato,27709,265909,11
2022-01-09,Wellington,0,471579,10
2022-01-09,West Coast,0,10000,1
2022-01-16,Auckland,93389,306050,10
2022-01-16,Bay of Plenty,689054,225920,10
2022-01-16,Canterbury,0,450200,8
2022-01-16,Gisborne,0,37000,1
2022-01-16,Hawke's Bay,0,139400,3
2022-01-16,Manawatu-Whanganui,2611,187479,9
2022-01-16,Marlborough,0,36000,2
2022-01-16,Nelson,0,86000,2
2022-01-16,Northland,23673,103050,19
2022-01-16,Otago,0,165600,5
2022-01-16,Southland,0,50000,1
2022-01-16,Taranaki,0,116756,9
2022-01-16,Tasman,0,8300,1
2022-01-16,Waikato,48945,286150,14
2022-01-16,Wellington,67990,485579,11
2022-01-16,West Coast,0,8900,3
2022-01-23,Auckland,97889,292310,12
2022-01-23,Bay of Plenty,523702,218920,9
2022-01-23,Canterbury,0,478200,9
2022-01-23,Gisborne,80400,37000,1
2022-01-23,Hawke's Bay,306031,146900,6
2022-01-23,Manawatu-Whanganui,0,187479,9
2022-01-23,Marlborough,0,36000,2
2022-01-23,Nelson,0,86000,2
2022-01-23,Northland,12274,108050,20
2022-01-23,Otago,0,161500,4
2022-01-23,Southland,0,50000,1
2022-01-23,Taranaki,0,116756,9
2022-01-23,Tasman,156019,8300,1
2022-01-23,Waikato,43143,278584,12
2022-01-23,Wellington,73521,485579,11
2022-01-23,West Coast,0,8900,3
2022-01-30,Auckland,88041,1449310,16
2022-01-30,Bay of Plenty,322050,225920,10
2022-01-30,Canterbury,150029,478200,9
2022-01-30,Gisborne,167418,37000,1
2022-01-30,Hawke's Bay,79036,139400,3
2022-01-30,Manawatu-Whanganui,12801,187479,9
2022-01-30,Marlborough,0,36000,2
2022-01-30,Nelson,0,86000,2
2022-01-30,Northland,10630,108050,20
2022-01-30,Otago,0,165600,5
2022-01-30,Southland,0,50000,1
2022-01-30,Taranaki,63936,116756,9
2022-01-30,Tasman,156019,8300,1
2022-01-30,Waikato,65417,278584,12
2022-01-30,Wellington,83126,485579,11
2022-01-30,West Coast,0,18900,4
2022-02-06,Auckland,851036,1449310,16
2022-02-06,Bay of Plenty,337222,225920,10
2022-02-06,Canterbury,74874,479100,10
2022-02-06,Gisborne,111086,37000,1
2022-02-06,Hawke's Bay,179669,147216,8
2022-02-06,Manawatu-Whanganui,0,187479,9
2022-02-06,Marlborough,0,36000,2
2022-02-06,Nelson,0,86000,2
2022-02-06,Northland,4886,107350,19
2022-02-06,Otago,0,174800,6
2022-02-06,Southland,0,50000,1
2022-02-06,Taranaki,87458,116756,9
2022-02-06,Tasman,0,8300,1
2022-02-06,Waikato,116301,245384,10
2022-02-06,Wellington,118430,485579,11
2022-02-06,West Coast,0,8900,3
2022-02-13,Auckland,386946,333710,12
2022-02-13,Bay of Plenty,583971,225920,10
2022-02-13,Canterbury,100044,479100,10
2022-02-13,Gisborne,3313024,37000,1
2022-02-13,Hawke's Bay,144094,147856,9
2022-02-13,Manawatu-Whanganui,106610,187479,9
2022-02-13,Marlborough,219260,36000,2
2022-02-13,Nelson,0,86000,2
2022-02-13,Northland,163732,42350,18
2022-02-13,Otago,53163,174800,6
2022-02-13,Southland,0,50000,1
2022-02-13,Taranaki,459296,116756,9
2022-02-13,Tasman,0,8300,1
2022-02-13,Waikato,321111,249585,9
2022-02-13,Wellington,174478,485579,11
2022-02-13,West Coast,0,8900,3
2022-02-20,Auckland,734117,334310,13
2022-02-20,Bay of Plenty,1992160,225920,10
2022-02-20,Canterbury,339295,479100,10
2022-02-20,Gisborne,1965953,37000,1
2022-02-20,Hawke's Bay,525264,147856,9
2022-02-20,Manawatu-Whanganui,92788,187479,9
2022-02-20,Marlborough,219260,36000,2
2022-02-20,Nelson,1525326,86000,2
2022-02-20,Northland,452653,108050,20
2022-02-20,Otago,461050,178900,7
2022-02-20,Southland,0,50000,1
2022-02-20,Taranaki,130564,116756,9
2022-02-20,Tasman,1059084,8300,1
2022-02-20,Waikato,1082031,275699,11
2022-02-20,Wellington,192536,485579,11
2022-02-20,West Coast,0,8900,3
2022-02-27,Auckland,46102668,1449310,16
2022-02-27,Bay of Plenty,15729574,225920,10
2022-02-27,Canterbury,2314422,497100,11
2022-02-27,Gisborne,2275288,37000,1
2022-02-27,Hawke's Bay,3033422,147856,9
2022-02-27,Manawatu-Whanganui,1119811,185822,8
2022-02-27,Marlborough,1157503,36000,2
2022-02-27,Nelson,1467799,86000,2
2022-02-27,Northland,4080099,107350,19
2022-02-27,Otago,2121576,174800,6
2022-02-27,Southland,833687,50000,1
2022-02-27,Taranaki,2051960,116756,9
2022-02-27,Tasman,9663370,8300,1
2022-02-27,Waikato,2817356,249585,9
2022-02-27,Wellington,2726852,485579,11
2022-02-27,West Coast,0,8900,3
2022-03-06,Auckland,14258248,1449310,16
2022-03-06,Bay of Plenty,48528132,225920,10
2022-03-06,Canterbury,6489642,497100,11
2022-03-06,Gisborne,24910180,37000,1
2022-03-06,Hawke's Bay,10465661,147856,9
2022-03-06,Manawatu-Whanganui,20870701,171479,8
2022-03-06,Marlborough,5853620,36000,2
2022-03-06,Nelson,7313881,86000,2
2022-03-06,Northland,24502333,107350,19
2022-03-06,Otago,8456761,178900,7
2022-03-06,Southland,2857350,52000,2
2022-03-06,Taranaki,24195818,116756,9
2022-03-06,Tasman,20580544,8300,1
2022-03-06,Waikato,4679826,246185,8
2022-03-06,Wellington,23283870,485579,11
2022-03-06,West Coast,244765,18900,4
2022-03-13,Auckland,32719633,1449310,16
2022-03-13,Bay of Plenty,54544951,216820,8
2022-03-13,Canterbury,6870107,497100,11
2022-03-13,Gisborne,75853403,37000,1
2022-03-13,Hawke's Bay,58394873,147856,9
2022-03-13,Manawatu-Whanganui,28904345,187479,9
2022-03-13,Marlborough,12375948,36000,2
2022-03-13,Nelson,17987465,86000,2
2022-03-13,Northland,13006119,100530,12
2022-03-13,Otago,11365353,201300,8
